,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
1300,ACC1400,2005-04-20,Lockheed P-3,Aero Union,N926AU,3,3,Damaged beyond repair,En route (ENR),Training,"Chico Airport, CA (CIC/KCIC), United States of America","Chico Airport, CA (CIC/KCIC), United States of America","22 km (13.8 mls) of Chico, CA (United States of America)"
1308,ACC1408,2005-05-25,Antonov AN-12,Victoria Air,9Q-CVG,27,27,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Goma Airport (GOM/FZNA), Congo (Democratic Republic)","Kindu Airport (KND/FZOA), Congo (Democratic Republic)",10 km (6.3 mls) from Biega (Congo (Democratic Republic))
1312,ACC1412,2005-07-28,Beechcraft 200,Northern Thunderbird Air,C-FCGL,2,2,Destroyed,En route (ENR),Ferry/positioning,"Vancouver International Airport, BC (YVR/CYVR), Canada","Smithers Airport, BC (YYD/CYYD), Canada","near Shovelnose Creek, BC (Canada)"
1315,ACC1415,2005-09-04,Antonov AN-2,Blagoveshchenski ASK ROSTO Polyot,RA-00901,3,3,Damaged beyond repair,En route (ENR),Cargo,"Ekimchan (UHBP), Russia","Udskoye Airstrip, Russia",19 km (11.9 mls) NE of Ekimchan (Russia)
1325,ACC1425,2005-11-28,Beechcraft 200,private,N73MW,2,2,Damaged beyond repair,Initial climb (ICL),Private,"Kaduna Airport (KAD/DNKA), Nigeria","Abuja International Airport (ABV/DNAA), Nigeria",Kaduna Airport (KAD) (Nigeria)
1327,ACC1427,2005-12-10,McDonnell Douglas DC-9,Sosoliso Airlines,5N-BFD,108,110,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Abuja International Airport (ABV/DNAA), Nigeria","Port Harcourt Airport (PHC/DNPO), Nigeria",Port Harcourt Airport (PHC) (Nigeria)
1328,ACC1428,2005-12-28,Learjet 35,Skyward Aviation,N781RS,2,2,Damaged beyond repair,Approach (APR),Ferry/positioning,"Twin Falls City County Airport, ID (TWF/KTWF), United States of America","Truckee Airport, CA (TKF/KTRK), United States of America","0,5 km (0.3 mls) E of Truckee Airport, CA (TKF) (United States of America)"
1330,ACC1430,2006-01-21,Cessna 208,Sonicblue Airways,C-GRXZ,3,8,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Tofino Airport, BC (YAZ/CYAZ), Canada","Vancouver International Airport, BC (YVR/CYVR), Canada","20 km (12.5 mls) SSE of Port Alberni, BC (Canada)"
1332,ACC1432,2006-03-18,Beechcraft C99,Ameriflight,N54RP,2,2,Damaged beyond repair,En route (ENR),Cargo,"Helena Airport, MT (HLN/KHLN), United States of America","Butte Airport, MT (BTM/KBTM), United States of America","13 km (8.1 mls) SW of Butte, MT (United States of America)"
1333,ACC1433,2006-03-24,Cessna 208,Aerotaxis Ecuatorianos SA - ATESA,HC-BXD,5,14,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"Cuenca Airport (CUE/SECU), Ecuador","Macas Airport (XMS/SEMC), Ecuador","0,5 km (0.3 mls) N of Cuenca-Mariscal Lamar Airport (CUE) (Ecuador)"
1334,ACC1434,2006-03-28,Cessna 208,Cessna Aircraft,N208WE,2,2,Damaged beyond repair,En route (ENR),Demonstration,"Thermal Airport, CA (TRM/KTRM), United States of America","Ontario International Airport, CA (ONT/KONT), United States of America","1,2 km (0.8 mls) N of Oak Glen, CA (United States of America)"
1337,ACC1437,2006-04-11,Antonov AN-2,Kapoly Air,LZ-1178,2,3,Damaged beyond repair,Maneuvering (MNV),Agricultural,"Kozlovets, Bulgaria","Kozlovets, Bulgaria",near Kozlovets (Bulgaria)
1339,ACC1439,2006-05-03,Airbus A320,Armavia,EK32009,113,113,Destroyed,Approach (APR),International Scheduled Passenger,"Yerevan Airport (EVN/UDYZ), Armenia","Adler/Sochi Airport (AER/URSS), Russia",6 km (3.8 mls) SW off Adler/Sochi Airport (AER) (Russia)
1340,ACC1440,2006-05-14,Convair CV-580,Saskatchewan Government Northern Air Operations,C-GSKJ,1,3,Destroyed,En route (ENR),Training,"La Ronge Airport, SK (YVC/CYVC), Canada","La Ronge Airport, SK (YVC/CYVC), Canada","1,5 km (0.9 mls) NW of La Ronge Airport, SK (YVC) (Canada)"
1341,ACC1441,2006-05-23,de Havilland Canada DHC-6,Air São Tomé & Principe,S9-BAL,4,4,Damaged beyond repair,En route (ENR),Training,"São Tomé Island Airport (TMS/FPST), São Tomé and Príncipe","São Tomé Island Airport (TMS/FPST), São Tomé and Príncipe",3 km (1.9 mls) off São Tomé Island Airport (TMS) (São Tomé and Príncipe)
1345,ACC1445,2006-06-17,Antonov AN-2,Flamingo,UN-70367,1,2,Damaged beyond repair,Approach (APR),Agricultural,"Taiynsha  Airport, Kazakhstan","Taiynsha  Airport, Kazakhstan",4 km (2.5 mls) from Taiynsha (Kazakhstan)
1346,ACC1446,2006-06-21,de Havilland Canada DHC-6,Yeti Airlines,9N-AEQ,9,9,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Surkhet Airport (SKH/VNSK), Nepal","Jumla Airport (JUM/VNJL), Nepal","0,5 km (0.3 mls) E of Jumla Airport (JUM) (Nepal)"
1351,ACC1451,2006-07-10,Fokker F-27,Pakistan International Airlines - PIA,AP-BAL,45,45,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Multan Airport (MUX/OPMT), Pakistan","Lahore Airport (LHE/OPLA), Pakistan",2 km (1.3 mls) NE of Multan Airport (MUX) (Pakistan)
1355,ACC1455,2006-09-01,Tupolev TU-154,Iran Airtour,EP-MCF,28,148,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Bandar Abbas Airport (BND/OIKB), Iran","Mashhad Airport (MHD/OIMM), Iran",Mashhad Airport (MHD) (Iran)
1359,ACC1459,2006-10-29,Boeing 737,ADC Airlines,5N-BFK,96,105,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Abuja International Airport (ABV/DNAA), Nigeria","Sokoto Airport (SKO/DNSO), Nigeria",Abuja International Airport (ABV) (Nigeria)
1366,ACC1466,2006-11-17,de Havilland Canada DHC-6,Trigana Air Service,PK-YPY,12,12,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Mulia Airport (LII/WABQ), Indonesia","Ilaga Airport (ILA/WABL), Indonesia",Puncak Jaya (Indonesia)
1369,ACC1469,2007-01-07,Beechcraft A100,Transwest Air,C-GFFN,1,4,Destroyed,Approach (APR),Ambulance,"La Ronge Airport, SK (YVC/CYVC), Canada","Sandy Bay Airport, SK, Canada","Sandy Bay Airport, SK (Canada)"
1371,ACC1471,2007-01-09,Antonov AN-26,Aeriantur-M Airlines,ER-26068,34,35,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,"Adana Airport (ADA/LTAF), Turkey","Balad Air Base (ORBD), Iraq","2,5 km (1.6 mls) from Balad Air Base (Iraq)"
1374,ACC1474,2007-02-06,Beechcraft 200,Air Turks & Caicos (2003),VQ-TIU,1,6,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,"North Caicos Airport (NCA/MBNC), Turks and Caicos Islands","Grand Turk Island Airport (GDT/MBJT), Turks and Caicos Islands","1,8 km (1.1 mls) SE of North Caicos Airport (NCA) (Turks and Caicos Islands)"
1376,ACC1476,2007-02-15,Cessna 208,Stellavia,5Y-BNN,1,1,Missing,En route (ENR),Cargo,"Goma Airport (GOM/FZNA), Congo (Democratic Republic)","Walikale Airstrip, Congo (Democratic Republic)",near Walikale (Congo (Democratic Republic))
1379,ACC1479,2007-03-17,Tupolev TU-134,Utair,RA-65021,6,57,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Surgut Airport (SGC/USRR), Russia","Samara Airport (KUF/UWWW), Russia",Samara Airport (KUF) (Russia)
1381,ACC1481,2007-04-25,Britten-Norman BN-2,Air Services Limited,8R-GET,3,5,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kato Airport (KTO/SYKT), Guyana","Kopinang Airfield (SYKO), Guyana",near Kopinang (Guyana)
1382,ACC1482,2007-05-17,Let L-410,SAFE Air,TN-AHE,3,3,Damaged beyond repair,Initial climb (ICL),Cargo,"Walikale Airstrip, Congo (Democratic Republic)","Goma Airport (GOM/FZNA), Congo (Democratic Republic)",near Walikale (Congo (Democratic Republic))
1383,ACC1483,2007-05-24,de Havilland Canada DHC-6,Fuerza Aérea del Peru - FAP,FAP-303,13,20,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Orellana Airport (SPON), Peru","Pampa Hermosa Airport (SPPH), Peru",near Pampa Hermosa (Peru)
1390,ACC1490,2007-07-05,Cessna 208,Lancton Taverns Ltd.,N208EC,2,9,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Inishmaan Airport (IIA/EIMN), Ireland","Connemara Airport (EICA), Ireland",near Connemara Airport (Ireland)
1393,ACC1493,2007-08-26,Antonov AN-32,Great Lake Business Company,9Q-CAC,14,15,Destroyed,Approach (APR),Cargo,"Kongolo Airport (KOO/FZRQ), Congo (Democratic Republic)","Goma Airport (GOM/FZNA), Congo (Democratic Republic)",3 km (1.9 mls) from Kongolo Airport (KOO) (Congo (Democratic Republic))
1397,ACC1497,2007-09-26,Reims Cessna F406,Fugro Airborne Surveys,ZS-SSD,2,2,Damaged beyond repair,Initial climb (ICL),Survey/research,"Entebbe Airport (EBB/HUEN), Uganda","Masindi Airport (KCU/HUMI), Uganda",Entebbe Airport (EBB) (Uganda)
1399,ACC1499,2007-11-06,Beechcraft A100,RHB-JMJ LLC,N30GC,2,2,Damaged beyond repair,Takeoff (TOF),Executive,"Chino Airport, CA (CNO/KCNO), United States of America","Visalia Airport, CA (VIS/KVIS), United States of America","1,2 km (0.8 mls) W of Chino Airport, CA (CNO) (United States of America)"
1403,ACC1503,2008-01-11,Antonov AN-2,Letalska sola Solt,HA-MKK,1,2,Destroyed,En route (ENR),Ferry/positioning,"entvid pri Sticni Airfield, Slovenia","Maribor Airport (MBX/LJMB), Slovenia",5 km (3.1 mls) N of Trbovlje (Slovenia)
1404,ACC1504,2008-01-14,Beechcraft 1900,Alpine Aviation,N410UB,1,1,Damaged beyond repair,Approach (APR),Cargo,"Honolulu International Airport, HI (HNL/PHNL), United States of America","Kauai Island/Lihue Airport, HI (LIH/PHLI), United States of America","11 km (6.9 mls) S off Lihue, HI (United States of America)"
1405,ACC1505,2008-01-19,Beechcraft B200,Gira Globo,D2-FFK,13,13,Damaged beyond repair,Approach (APR),Passenger,"Luanda Airport (LAD/FNLU), Angola","Huambo Airport (NOV/FNHU), Angola",near Bailundo (Angola)
1406,ACC1506,2008-02-01,Cessna 525,J. Symons,N102PT,2,2,Damaged beyond repair,En route (ENR),Private,"Augusta State Airport, ME (AUG/KAUG), United States of America","Lincoln Municipal Airport, NE (LNK/KLNK), United States of America","9,5 km (5.9 mls) SSW of Augusta State Airport, ME (AUG) (United States of America)"
1411,ACC1511,2008-04-03,Reims Cessna F406,Auric Air,5H-AWK,2,2,Damaged beyond repair,Initial climb (ICL),Training,"Mwanza Airport (MWZ/HTMW), Tanzania","Mwanza Airport (MWZ/HTMW), Tanzania",3 km (1.9 mls) from Mwanza (HTMW) (Tanzania)
1412,ACC1512,2008-04-11,Antonov AN-32,Kata Air Transport,ST-AZL,8,8,Destroyed,Approach (APR),Ferry/positioning,"Chisinau Airport (KIV/LUKK), Moldova","Antalya Airport (AYT/LTAI), Turkey",Chisinau Airport (KIV) (Moldova)
1415,ACC1515,2008-05-26,Antonov AN-12,Moskovia Airlines,RA-12957,9,9,Destroyed,Approach (APR),Ferry/positioning,"Chelyabinsk Airport (CEK/USCC), Russia","Perm Airport (PEE/USPP), Russia",11 km (6.9 mls) W of Chelyabinsk Airport (CEK) (Russia)
1423,ACC1523,2008-07-31,British Aerospace BAE-125,East Coast Jets,N818MV,8,8,Destroyed,Landing (LDG),Executive,"Atlantic City International Airport, NJ (ACY/KACY), United States of America","Owatonna Airport, MN (OWA/KOWA), United States of America","Owatonna Airport, MN (OWA) (United States of America)"
1429,ACC1529,2008-10-12,Beechcraft 100,Woolie Enterprises Inc.,N525ZS,1,1,Substantial,Initial climb (ICL),Ferry/positioning,"Bauru Airport, SP (BAU/SBBU), Brazil","Sorocaba Airport, SP (SOD/SDCO), Brazil","5 km (3.1 mls) from Bauru Airport, SP (BAU) (Brazil)"
1434,ACC1534,2008-11-13,Antonov AN-12,British Gulf International Airlines,S9-SAO,7,7,Damaged beyond repair,En route (ENR),Cargo,"Al Asad Air Base (IQA/ORAA), Iraq","Baghdad International Airport (BGW/ORBI), Iraq",22 km (13.8 mls) SE of Al-Taqaddum Air Base (Iraq)
1449,ACC1549,2009-02-20,Antonov AN-12,Aerolift,S9-SVN,5,5,Destroyed,Takeoff (TOF),Ferry/positioning,"Luxor Airport (LXR/HELX), Egypt","Nikolaev Airport (NLV/UKON), Ukraine",Luxor Airport (LXR) (Egypt)
1452,ACC1552,2009-03-09,Ilyushin IL-76,Aerolift,S9-SAB,11,11,Damaged beyond repair,Initial climb (ICL),Cargo,"Entebbe Airport (EBB/HUEN), Uganda","Mogadishu International Airport (MGQ/HCMM), Somalia",10 km (6.3 mls) S off Entebbe Airport (EBB) (Uganda)
1454,ACC1554,2009-04-02,Britten-Norman BN-2,Chemtrad Aviation,RP-C764,7,7,Damaged beyond repair,En route (ENR),Passenger,"Tuguegarao Airport (TUG/RPUT), Philippines","Maconacon Airport, Philippines","Barangay San Miguel, Baggao, Cagayan (Philippines)"
1455,ACC1555,2009-04-17,Cessna 208,Línea Turística Aereotuy - LTA,YV1181,1,12,Damaged beyond repair,Takeoff (TOF),Domestic Non Scheduled Passenger,"Canaima Airport (CAJ/SVCN), Venezuela","Ciudad Bolívar Airport (CBL/SVCB), Venezuela",Canaima Airport (CAJ) (Venezuela)
1456,ACC1556,2009-04-25,Lockheed SP-2,Neptune Aviation Services,N442NA,3,3,Substantial,En route (ENR),Ferry/positioning,"Missoula Airport, MT (MSO/KMSO), United States of America","Alamogordo Municipal Airport, NM (ALM/KALM), United States of America","2,7 km (1.7 mls) N of Stockton, UT (United States of America)"
1457,ACC1557,2009-04-30,Antonov AN-2,Yakutsk ASK ROSTO,RF-00842,3,3,Damaged beyond repair,Approach (APR),Ferry/positioning,"Lensk Airport (ULK/UERL), Russia","Yakutsk Airport (YKS/UEEE), Russia","Oi (Nemyugyuntsy), Yakutia (Russia)"
1464,ACC1564,2009-06-29,de Havilland Canada DHC-6,Aviastar Mandiri,PK-BRO,3,3,Destroyed,En route (ENR),Cargo,"Dekai Airport (DEK), Indonesia","Wamena Airport (WMX/WAJW), Indonesia",ca 19 km SSE of Wamena Airport (WMX) (Indonesia)
1468,ACC1568,2009-08-04,ATR 72,Bangkok Airways,HS-PGL,1,72,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,"Krabi Airport (KBV/VTSG), Thailand","Koh Samui Airport (USM/VTSM), Thailand",Koh Samui Airport (USM) (Thailand)
1469,ACC1569,2009-08-16,Avcen Jetpod,Avcen,-,1,1,Destroyed,Initial climb (ICL),Test,"Taiping Airport (TPG/WMBI), Malaysia","Taiping Airport (TPG/WMBI), Malaysia",near Taiping Airport (TPG) (Malaysia)
1475,ACC1575,2009-10-06,Antonov AN-2,Bashmia Aero Spray,ST-AUS,1,1,Destroyed,Approach (APR),Agricultural,"Umgalala Airstrip, Sudan","Umgalala Airstrip, Sudan",Umgalala Airstrip (Sudan)
1478,ACC1578,2009-11-01,Ilyushin IL-76,Russian Ministry of Interior,RF-76801,11,11,Destroyed,Initial climb (ICL),Ferry/positioning,"Mirny Airport (MJZ/UERR), Russia","Irkutsk Airport (IKT/UIII), Russia","1,9 km (1.2 mls) SW of Mirny Airport (MJZ) (Russia)"
1491,ACC1591,2010-03-22,Embraer EMB-120,Airnorth,VH-ANB,2,2,Destroyed,Initial climb (ICL),Training,"Darwin Airport, NT (DRW/YPDN), Australia","Darwin Airport, NT (DRW/YPDN), Australia","Darwin Airport, NT (DRW) (Australia)"
1494,ACC1594,2010-05-17,Antonov AN-24,Pamir Airways,YA-PIS,44,44,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Kunduz Airport (UND/OAUZ), Afghanistan","Kabul Airport (KBL/OAKB), Afghanistan",Salang Pass (Afghanistan)
1497,ACC1597,2010-06-24,Antonov AN-2,Flamingo,UP-A0161,2,3,Damaged beyond repair,Takeoff (TOF),Ferry/positioning,"Taiynsha  Airport, Kazakhstan","Sorochinskiy Airstrip, Kazakhstan","Sarybulak, North Kazakhstan region (Kazakhstan)"
1500,ACC1600,2010-07-31,Convair CV-580,Conair Group,C-FKFY,2,2,Destroyed,En route (ENR),Fire fighting,"Kamloops Airport, BC (YKA/CYKA), Canada","Kamloops Airport, BC (YKA/CYKA), Canada","15 km (9.4 mls) SE of Lytton, BC (Canada)"
1501,ACC1601,2010-08-25,Let L-410,Filair,9Q-CCN,20,21,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Semendwa Airport (FZBS), Congo (Democratic Republic)","Bandundu Airport (FDU/FZBO), Congo (Democratic Republic)",near Bandundu Airport (FDU) (Congo (Democratic Republic))
1516,ACC1616,2011-03-16,Beechcraft 200,Carde Equipment Sales LLC,N849BM,5,6,Destroyed,Initial climb (ICL),Executive,"Long Beach Municipal Airport, CA (LGB/KLGB), United States of America","Salt Lake City International Airport, UT (SLC/KSLC), United States of America","Long Beach Municipal Airport, CA (LGB) (United States of America)"
1518,ACC1618,2011-03-28,Cessna 550,Zhong Fei General Aviation Company - CFGAC,B-7026,3,3,Missing,En route (ENR),Survey/research,"Korla Airport (KRL/ZWKL), China","Korla Airport (KRL/ZWKL), China",Tianshan mountains (China)
1519,ACC1619,2011-03-31,de Havilland Canada DHC-3,Black Sheep Aviation & Cattle Company,C-GMCW,1,1,Destroyed,En route (ENR),Cargo,"Mayo Airport, YT (YMA/CYMA), Canada","Rackla Airstrip, YT, Canada","70 km (43.8 mls) NE of Mayo, YT (Canada)"
1520,ACC1620,2011-04-01,CASA C-212,Fugro Aviation Canada,C-FDKM,1,3,Destroyed,Approach (APR),Survey/research,"Saskatoon Airport, SK (YXE/CYXE), Canada","Saskatoon Airport, SK (YXE/CYXE), Canada","3 km (1.9 mls) E of Saskatoon Airport, SK (YXE) (Canada)"
1521,ACC1621,2011-04-02,Gulfstream G650,Gulfstream Aerospace,N652GD,4,4,Destroyed,Takeoff (TOF),Test,"Roswell International Air Center Airport, NM (ROW/KROW), United States of America","Roswell International Air Center Airport, NM (ROW/KROW), United States of America","Roswell International Air Center Airport, NM (ROW) (United States of America)"
1524,ACC1624,2011-05-18,Saab 340,SOL Líneas Aéreas,LV-CEJ,22,22,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Neuquén Airport, NE (NQN/SAZN), Argentina","Comodoro Rivadavia Airport, CB (CRD/SAVC), Argentina","20 km (12.5 mls) N of Prahuaniyeu, RN (Argentina)"
1530,ACC1630,2011-07-04,Cessna 208,Missinippi Airways,C-FMCB,1,9,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Pukatawagan Airport, MB (XPK/ZCFG), Canada","The Pas/Grace Lake Airport, MB (YQD/CYQD), Canada","Pukatawagan Airport, MB (XPK) (Canada)"
1534,ACC1634,2011-08-20,Boeing 737,First Air,C-GNWN,12,15,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,"Yellowknife Airport, NT (YZF/CYZF), Canada","Resolute Airport, NU (YRB/CYRB), Canada","1,8 km (1.1 mls) E of Resolute Airport, NU (YRB) (Canada)"
1536,ACC1636,2011-08-28,Antonov AN-2,Aviakompaniya Pilot,RA-01105,1,2,Destroyed,Maneuvering (MNV),Agricultural,"Baranikovsky Airfield, Russia","Baranikovsky Airfield, Russia","3,2 km (2 mls) WSW of Neschadinovskaya, Krasnodar region (Russia)"
1538,ACC1638,2011-09-02,Cessna 208,Grant Aviation,N207DR,1,1,Destroyed,En route (ENR),Cargo,"Toksook Bay Airport, AK (OOK/PAOO), United States of America","Bethel Airport, AK (BET/PABE), United States of America","14 km (8.8 mls) N of Nightmute, AK (United States of America)"
1539,ACC1639,2011-09-09,Cessna 208,Susi Air,PK-VVE,2,2,Destroyed,En route (ENR),Cargo,"Wamena Airport (WMX/WAJW), Indonesia","Kenyam Airstrip, Indonesia","near Notnare Village, Yahukimo district, Irian Jaya (Indonesia)"
1541,ACC1641,2011-09-22,de Havilland Canada DHC-6,Arctic Sunwest Charters,C-GARW,2,9,Substantial,Approach (APR),Domestic Non Scheduled Passenger,"Thor Lake, NT, Canada","Yellowknife Waterdrome, NT, Canada","Yellowknife, NT (Canada)"
1542,ACC1642,2011-09-23,de Havilland Canada DHC-3,Servant Air,N361TT,1,3,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,"Old Harbor Airport, AK (OLH), United States of America","Kodiak Airport, AK (ADQ/PADQ), United States of America","near Heitman Lake, AK (United States of America)"
1543,ACC1643,2011-10-04,Cessna 208,Air Tindi,C-GATV,2,4,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Yellowknife Airport, NT (YZF/CYZF), Canada","Lutsel K'e Airport, NT (YSG/CYLK), Canada","Utsingi Point, Great Slave Lake, NT (Canada)"
1547,ACC1647,2011-10-14,Cessna 208,Moremi Air,A2-AKD,8,12,Destroyed,Initial climb (ICL),Domestic Non Scheduled Passenger,"Xakanaka Airstrip, Botswana","Pom Pom Camp Airstrip, Botswana",Xakanaka Airstrip (Botswana)
1548,ACC1648,2011-10-27,Beechcraft 100,Northern Thunderbird Air,C-GXRX,2,9,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,"Vancouver International Airport, BC (YVR/CYVR), Canada","Kelowna Airport, BC (YLW/CYLW), Canada","0,7 km (0.4 mls) E of Vancouver International Airport, BC (YVR) (Canada)"
1550,ACC1650,2011-11-23,Cessna 208,Susi Air,PK-VVG,1,2,Destroyed,Approach (APR),Cargo,"Nabire Airport (NBX/WABI), Indonesia","Bilogai/Sugapa Airport (ZGP/WAYB), Indonesia",near Bilogai/Sugapa Airport (ZGP) (Indonesia)
1564,ACC1664,2012-05-14,Dornier 228,Agni Air,9N-AIG,15,21,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Pokhara Airport (PKR/VNPK), Nepal","Jomsom Airport (JMO/VNJS), Nepal",5 km (3.1 mls) SW of Jomsom Airport (JMO) (Nepal)
1567,ACC1667,2012-06-03,Lockheed P-2,Neptune Aviation Services,N14447,2,2,Substantial,Maneuvering (MNV),Fire fighting,"Cedar City Airport, UT (CDC/KCDC), United States of America","Cedar City Airport, UT (CDC/KCDC), United States of America","ca 35km W of Modena, Iron County, UT (United States of America)"
1568,ACC1668,2012-06-10,Let L-410,Ukrainska Shkola Pilotov,UR-SKD,5,22,Destroyed,Approach (APR),Parachuting,"Borodyanka Airfield (UKKB), Ukraine","Borodyanka Airfield (UKKB), Ukraine","0,9 km (0.6 mls) from Borodyanka Airfield (Ukraine)"
1570,ACC1670,2012-06-29,Embraer ERJ 190,Tianjin Airlines,B-3171,2,101,None,En route (ENR),Domestic Scheduled Passenger,"Hotan Airport (HTN/ZWTN), China","Urumqi Airport (URC/ZWWW), China",Hotan Airport (HTN) (China)
1573,ACC1673,2012-07-22,Let L-410,DOSAAF,RF-00138,1,2,Substantial,Landing (LDG),Parachuting,"Bolshoe Gryzlovo Airport, Russia","Bolshoe Gryzlovo Airport, Russia",Bolshoe Gryzlovo Airport (Russia)
1584,ACC1684,2012-11-18,Cessna 208,Gogal Air Service,C-GAGP,1,8,Substantial,Initial climb (ICL),Domestic Non Scheduled Passenger,"Snow Lake Airport, MB, Canada","Winnipeg International Airport, MB (YWG/CYWG), Canada","2 km (1.3 mls) E of Snow Lake Airport, MB (Canada)"
1589,ACC1689,2012-12-19,Beechcraft B100,Stinger Welding Inc.,N499SW,2,2,Destroyed,Approach (APR),Executive,"Coolidge Municipal Airport, AZ, United States of America","Libby Airport, MT, United States of America","9 km (5.6 mls) NNE of Libby Airport, MT (United States of America)"
1590,ACC1690,2012-12-22,Fairchild SA227,Perimeter Aviation,C-GFWX,1,9,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,"Winnipeg International Airport, MB (YWG/CYWG), Canada","Sanikiluaq Airport, NU (YSK/CYSK), Canada","Sanikiluaq Airport, NU (YSK) (Canada)"
1592,ACC1692,2012-12-25,Fokker 100,Air Bagan,XY-AGC,1,71,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Mandalay International Airport (MDL/VYMD), Myanmar","Heho Airport (HEH/VYHH), Myanmar",ca 1 km S of Heho Airport (HEH) (Myanmar)
1593,ACC1693,2013-01-29,Canadair CL-600,SCAT,UP-CJ006,21,21,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Kokshetau Airport (KOV/UACK), Kazakhstan","Almaty Airport (ALA/UAAA), Kazakhstan","1,6 km (1 mls) NE of Almaty Airport (ALA) (Kazakhstan)"
1595,ACC1695,2013-03-04,Fokker 50,Compagnie Africaine d'Aviation - CAA,9Q-CBD,7,10,Damaged beyond repair,Approach (APR),Cargo,"Lodja Airport (LJA/FZVA), Congo (Democratic Republic)","Goma Airport (GOM/FZNA), Congo (Democratic Republic)",Goma Airport (GOM) (Congo (Democratic Republic))
1596,ACC1696,2013-03-08,Beechcraft 1900,ACE Air Cargo,N116AX,2,2,Destroyed,Approach (APR),Cargo,"King Salmon Airport, AK (AKN/PAKN), United States of America","Dillingham Municipal Airport, AK (DLG/PADL), United States of America","32 km (20 mls) NE of Dillingham Municipal Airport, AK (DLG) (United States of America)"
1603,ACC1703,2013-05-24,Antonov AN-2,Valor Air,EX-02015,3,3,Destroyed,Maneuvering (MNV),Agricultural,"Tash Kumyr Airstrip, Kyrgyzstan","Tash Kumyr Airstrip, Kyrgyzstan","2,5 km (1.6 mls) NW of Jyl-Kol, Jalal-Abad region (Kyrgyzstan)"
1608,ACC1708,2013-06-10,Cessna 208,CotonTchad,TT-BAU,1,5,Damaged beyond repair,Approach (APR),Executive,"Moundou Airport (MQQ/FTTD), Chad","Douala Airport (DLA/FKKD), Cameroon",ca 1 km from N'Gaoundéré Airport (NGE) (Cameroon)
1613,ACC1713,2013-06-29,Embraer EMB-110,Batair Cargo,ZS-NVB,2,2,Substantial,Approach (APR),Cargo,"Lanseria Airport (HLA/FALA), South Africa","Francistown Airport (FRW/FBFT), Botswana","4,6 km (2.9 mls) NW of Francistown Airport (FRW) (Botswana)"
1615,ACC1715,2013-07-07,de Havilland Canada DHC-3,Rediske Air,N93PC,10,10,Destroyed,Takeoff (TOF),Domestic Non Scheduled Passenger,"Soldotna Airport, AK (SXQ/PASX), United States of America","Bear Mountain Lodge Airstrip, AK, United States of America","Soldotna Airport, AK (SXQ) (United States of America)"
1619,ACC1719,2013-08-05,Beechcraft B200,Mýflug Air,TF-MYX,2,3,Destroyed,Approach (APR),Ferry/positioning,"Reykjavík Domestic Airport (RKV/BIRK), Iceland","Akureyri Airport (AEY/BIAR), Iceland","4,4 km (2.8 mls) NW of Akureyri Airport (AEY) (Iceland)"
1624,ACC1724,2013-08-22,de Havilland Canada DHC-3,Transwest Air,C-FSGD,1,1,Damaged beyond repair,En route (ENR),Ferry/positioning,"Scott Lake Lodge, SK, Canada","Ivanhoe Lake, NT, Canada","13 km (8.1 mls) SE of Ivanhoe Lake, NT (Canada)"
1626,ACC1726,2013-09-09,Dornier 228,Transportes Aéreos Corporativos - CorpFlite,CC-CNW,2,2,Damaged beyond repair,Approach (APR),Ferry/positioning,"Los Pelambres Airport (SCNK), Chile","Viña del Mar Airport (KNA/SCVM), Chile","1,9 km (1.2 mls) SE of Viña del Mar Airport (KNA) (Chile)"
