Unnamed: 0,acc. date,type,operator,fat.,location,dmg,country,state,city,LAT,LNG
3560,18 Jan 1986,Sud Aviation SE-210 Caravelle VI-N,Aerovias Guatemala,94,8 km from Flores-Santa Elena Airport (FRS),dst,US,,,38.89037,-77.03196
3603,31 Mar 1986,Boeing 727-264,Mexicana de AviaciÃ³n,167,Las Mesas,dst,ES,CM,Las Mesas,39.39158,-2.76691
3654,2 Jul 1986,Tupolev Tu-134AK,"Aeroflot, Komi Civil Aviation Directorate",54,Kopsa,w/o,FI,PS,Siikajoki,64.56307,24.67476
3677,14 Aug 1986,Lockheed C-130D-6 Hercules,Fuerza AÃ©rea HondureÃ±a,52,NW of MocorÃ³n-Durzona Airstrip,w/o,US,,,38.89037,-77.03196
3678,16 Aug 1986,Fokker F-27 Friendship 400M,Sudan Airways,60,near Malakal,w/o,SS,NU,Tonga,9.53609,31.65463
3684,31 Aug 1986,McDonnell Douglas DC-9-32,AeromÃ©xico,82,"Cerritos, CA",dst,US,CA,Cerritos,33.86866,-118.0637
3716,20 Oct 1986,Tupolev Tu-134A,"Aeroflot, North Kavkaz Civil Aviation Directorate",70,Kuybyshev Airport (KUF),dst,US,,,38.89037,-77.03196
3726,2 Nov 1986,Lockheed C-130 Hercules,Islamic Republic of Iran Air Force - IRIAF,103,11 km E of Zahedan,dst,IR,,Iran,29.6767,60.85986
3744,12 Dec 1986,Tupolev Tu-134A,Aeroflot / Belarus,72,3 km NE of Berlin-SchÃ¶nefeld Airport (SXF),dst,US,,,38.89037,-77.03196
3751,25 Dec 1986,Boeing 737-270C,Iraqi Airways,63,near Arar,w/o,SA,,Arar,30.98296,41.02223
3759,3 Jan 1987,Boeing 707-379C,Varig,50,18 km NE of Abidjan-Felix Houphouet Boigny Airport (ABJ),dst,CI,,Abidjan,5.32755,-4.01959
3768,13 Jan 1987,Antonov An-12,Ethiopian Air Force,54,near Asmara International Airport (ASM),w/o,ER,,Asmara,15.29342,38.90453
3846,9 May 1987,Ilyushin Il-62M,LOT Polskie Linie Lotnicze,183,6 km SE of Warszawa-Okecie Airport (WAW),dst,PL,,Warsaw,52.17804,20.98251
3865,11 Jun 1987,Antonov An-26,Bakhtar Afghan Airlines,53,near Khost,w/o,US,IN,South Bend,41.68361,-86.25979
3874,18 Jun 1987,Antonov An-26,Fuerza AÃ©rea del Peru - FAP,50,40 km SE of Saposoa Airport (SQU),dst,US,,,38.89037,-77.03196
3884,26 Jun 1987,Hawker Siddeley HS-748-209 Srs. 2,Philippine Air Lines,50,19 km ESE of Baguio-Loakan Airport (BAG),dst,PH,CAR,Baguio City,16.37568,120.61258
3912,16 Aug 1987,McDonnell Douglas DC-9-82 (MD-82),Northwest Airlines,156,"Detroit-Metropolitan Wayne County Airport, MI (DTW)",dst,US,MI,Detroit,42.23053,-83.34298
3920,31 Aug 1987,Boeing 737-2P5,Thai Airways,83,15 km E off Phuket International Airport (HKT),dst,TH,,Thalang,8.10529,98.30629
3972,28 Nov 1987,Boeing 747-244B,South African Airways - SAA,159,250 km NE off Mauritius,dst,US,,,38.89037,-77.03196
3973,29 Nov 1987,Boeing 707-3B5C,Korean Air,115,"100 km NW off Tavoy, Myanmar [Andaman Sea]",dst,MM,,Dawei,14.09732,98.19624
4018,18 Jan 1988,Ilyushin Il-18D,China Southwest Airlines,108,"5,7 km NW of Chongqing Baishiyi Airport",dst,US,,,38.89037,-77.03196
4053,17 Mar 1988,Boeing 727-21,Avianca,143,25 km NW of CÃºcuta-Camilo Daza Airport (CUC),dst,US,,,38.89037,-77.03196
4106,3 Jul 1988,Airbus A300B2-203,Iran Air,290,4 km SE off Qeshm Island,dst,US,,,38.89037,-77.03196
4148,9 Sep 1988,Tupolev Tu-134A,HÃ¢ng KhÃ´ng ViÃªtnam,76,6 km N of Bangkok-Don Muang International Airport (BKK),dst,TH,,Bangkok,13.92338,100.60375
4184,19 Oct 1988,Boeing 737-2A8,Indian Airlines,133,"2,54 km NE of Ahmedabad Airport (AMD)",dst,IN,GJ,Ahmedabad,23.08165,72.64228
4217,11 Dec 1988,Ilyushin Il-76M,Soviet Air Force,77,15 km from Leninakan Airport (LWN),dst,US,,,38.89037,-77.03196
4223,21 Dec 1988,Boeing 747-121A,Pan American World Airways (Pan Am),270,Lockerbie,dst,GB,SCT,Lockerbie,55.12175,-3.35473
4254,8 Feb 1989,Boeing 707-331B,Independent Air,144,"7 km E of Santa Maria-Vila do Porto Airport, Azores (SMA)",dst,PT,,Vila do Porto,36.97417,-25.16532
4326,7 Jun 1989,McDonnell Douglas DC-8-62,Surinam Airways,176,3 km W of Paramaribo-Zanderij International Airport (PBM),dst,US,,,38.89037,-77.03196
4332,21 Jun 1989,de Havilland Canada DHC-5D Buffalo,Fuerza AÃ©rea del Peru - FAP,59,near Tarma,w/o,PE,JU,Tarma,-11.41733,-75.68737
4347,19 Jul 1989,McDonnell Douglas DC-10-10,United Airlines,111,"Sioux Gateway Airport, IA (SUX)",dst,US,IA,Sioux City,42.4009,-96.37838
4354,27 Jul 1989,McDonnell Douglas DC-10-30,Korean Air,79,"2,4 km E of Tripoli International Airport (TIP)",dst,LY,,Tripoli,32.90581,13.27338
4375,25 Aug 1989,Fokker F-27 Friendship 200,Pakistan International Airlines - PIA,54,Himalaya Mountains,mis,US,NV,Las Vegas,36.01965,-115.2613
4380,3 Sep 1989,Ilyushin Il-62M,Cubana de AviaciÃ³n,150,"0,7 km NE of Havana-JosÃ© MartÃ­ International Airport (HAV)",dst,IN,KL,Aluva,10.15739,76.3932
4386,8 Sep 1989,Convair CV-580,Partnair,55,18 km N off Hirtshals [Skagerrak],dst,DK,,Hirtshals,57.59148,9.96044
4412,19 Sep 1989,McDonnell Douglas DC-10-30,Union de Transports AÃ©riens - UTA,170,TÃ©nÃ©rÃ© desert,dst,PY,,Itanará,-23.75235,-55.46386
4439,18 Oct 1989,Ilyushin Il-76MD,Soviet Air Force,57,"1,5 km off Sumqayit",dst,AZ,,Sumgayit,40.5902,49.67928
